service_id,vehicle_age_years,service_type,repair_cost_inr,service_duration_hours,mileage_km,repeat_visit
VS00001,10,Brake,19560,5.4,27741,Yes
VS00002,1,Routine,1500,0.6,129738,No
VS00003,10,Engine,15224,4.1,148966,Yes
VS00004,7,Electrical,10475,3.6,100865,Yes
VS00005,16,AC,18583,5.1,17860,Yes
VS00006,6,AC,7773,2.9,127056,No
VS00007,12,Brake,11337,3.6,198646,Yes
VS00008,15,Engine,20286,8.2,17523,Yes
VS00009,16,Electrical,21193,6.9,96145,Yes
VS00010,6,Engine,8752,4.5,207568,Yes
VS00011,2,Engine,24124,6.2,55338,Yes
VS00012,4,Brake,11656,4.8,200915,No
VS00013,17,Routine,14796,4.3,39954,No
VS00014,15,Engine,23141,7.2,21676,No
VS00015,17,AC,23361,6.7,20425,No
VS00016,1,Electrical,9860,3.2,77738,No
VS00017,11,Engine,25241,7.3,64417,Yes
VS00018,10,Routine,9111,3.4,91320,No
VS00019,6,AC,11441,3.7,199344,No
VS00020,12,Electrical,15120,5.7,7783,Yes
VS00021,9,Engine,18150,5.9,94440,Yes
VS00022,16,Engine,22716,8.1,111066,Yes
VS00023,12,Engine,17528,6.8,57830,Yes
VS00024,9,Brake,15121,5.1,99279,No
VS00025,4,Engine,15613,6.1,174631,No
VS00026,17,Brake,13573,4.3,24851,Yes
VS00027,0,Brake,11918,3.8,190695,No
VS00028,18,AC,16940,6.5,109186,No
VS00029,18,AC,13504,5.4,187902,Yes
VS00030,10,Brake,17808,5.4,172419,No
VS00031,9,Routine,10037,3.8,63480,Yes
VS00032,3,AC,14196,3.5,88036,No
VS00033,16,Routine,14907,2.4,126464,No
VS00034,15,Engine,18386,6.4,99338,No
VS00035,13,Engine,16527,6.1,81909,No
VS00036,13,Routine,7871,2.8,115305,No
VS00037,17,AC,20330,5.1,148247,Yes
VS00038,13,Electrical,17734,5.9,20128,No
VS00039,1,Routine,12200,3.6,19989,No
VS00040,13,Routine,15475,3.8,52168,No
VS00041,1,Routine,8185,3.1,214562,No
VS00042,4,Brake,9438,2.8,131170,No
VS00043,15,AC,21888,7.7,131953,Yes
VS00044,17,Brake,16542,4.8,56943,No
VS00045,9,AC,12794,5.4,86367,Yes
VS00046,11,Electrical,16246,4.5,139130,No
VS00047,13,Routine,6886,3.3,174839,Yes
VS00048,6,AC,12358,4.4,71321,Yes
VS00049,10,Engine,20482,6.3,79447,No
